assignment_id,accept_time,submit_time,accept_time_str,submit_time_str,duration_seconds,duration_minutes,duration_hours,worker_id,hit_id,status,timezone,subcategory,task_type,group_index,s3_path
36W0OB37HXYW7MKT46W124FYGAJZHI,2025-08-21 11:58:19-06:00,2025-08-21 12:08:47-06:00,2025-08-21 11:58:19-0600,2025-08-21 12:08:47-0600,628.0,10.466666666666667,0.17444444444444446,A1VMPZVVVZUCS4,33NKDW9FFX1DZZB4RUOD6868PE3CXR,Approved,tzlocal(),QuadrupedHead,spin_val_parts,0,HITs/QuadrupedHead/spin_val_parts/live/group_0_36W0OB37HXYW7MKT46W124FYGAJZHI.json
3KXIR214I50CPZTM0S34L4WNQW024T,2025-08-21 12:47:20-06:00,2025-08-21 12:49:04-06:00,2025-08-21 12:47:20-0600,2025-08-21 12:49:04-0600,104.0,1.7333333333333334,0.028888888888888888,AZLZA0Q87TJZO,33NKDW9FFX1DZZB4RUOD6868PE3CXR,Approved,tzlocal(),QuadrupedHead,spin_val_parts,0,HITs/QuadrupedHead/spin_val_parts/live/group_0_3KXIR214I50CPZTM0S34L4WNQW024T.json
3HSYG7LRBKISKHMFAQWOSH7D4IBKKM,2025-08-21 12:47:21-06:00,2025-08-21 12:49:42-06:00,2025-08-21 12:47:21-0600,2025-08-21 12:49:42-0600,141.0,2.35,0.03916666666666667,AZLZA0Q87TJZO,3L55D8AUFAG2Z41EWQAFPMDHRKXCYX,Approved,tzlocal(),QuadrupedHead,spin_val_parts,1,HITs/QuadrupedHead/spin_val_parts/live/group_1_3HSYG7LRBKISKHMFAQWOSH7D4IBKKM.json
3U8YCDAGXQ0CIUD6J2635J4DPQWQ0D,2025-08-21 11:58:21-06:00,2025-08-21 12:10:47-06:00,2025-08-21 11:58:21-0600,2025-08-21 12:10:47-0600,746.0,12.433333333333334,0.20722222222222222,A1VMPZVVVZUCS4,3L55D8AUFAG2Z41EWQAFPMDHRKXCYX,Approved,tzlocal(),QuadrupedHead,spin_val_parts,1,HITs/QuadrupedHead/spin_val_parts/live/group_1_3U8YCDAGXQ0CIUD6J2635J4DPQWQ0D.json
33JKGHPFYDEOIB7LSF1KZMGLNIANMY,2025-08-21 11:58:26-06:00,2025-08-21 12:12:18-06:00,2025-08-21 11:58:26-0600,2025-08-21 12:12:18-0600,832.0,13.866666666666667,0.2311111111111111,A1VMPZVVVZUCS4,33Q5P9PUSP524UBJSCCY3TMJXE1CZO,Approved,tzlocal(),QuadrupedHead,spin_val_parts,2,HITs/QuadrupedHead/spin_val_parts/live/group_2_33JKGHPFYDEOIB7LSF1KZMGLNIANMY.json
3BWI6RSP7HT132NLVAWCQHPME1G7EK,2025-08-21 12:57:23-06:00,2025-08-21 13:00:48-06:00,2025-08-21 12:57:23-0600,2025-08-21 13:00:48-0600,205.0,3.4166666666666665,0.05694444444444444,AZLZA0Q87TJZO,33Q5P9PUSP524UBJSCCY3TMJXE1CZO,Approved,tzlocal(),QuadrupedHead,spin_val_parts,2,HITs/QuadrupedHead/spin_val_parts/live/group_2_3BWI6RSP7HT132NLVAWCQHPME1G7EK.json
3B3WTRP3DCMDM5ZYHNZV2C73COE29P,2025-08-21 12:47:25-06:00,2025-08-21 12:52:54-06:00,2025-08-21 12:47:25-0600,2025-08-21 12:52:54-0600,329.0,5.483333333333333,0.0913888888888889,AZLZA0Q87TJZO,3XUSYT70ITKF71B7OEUHH01F07UD0X,Approved,tzlocal(),QuadrupedHead,spin_val_parts,3,HITs/QuadrupedHead/spin_val_parts/live/group_3_3B3WTRP3DCMDM5ZYHNZV2C73COE29P.json
3NXNZ5RS1BHK86W4NZGQY3OBN4Z799,2025-08-21 11:58:13-06:00,2025-08-21 12:06:01-06:00,2025-08-21 11:58:13-0600,2025-08-21 12:06:01-0600,468.0,7.8,0.13,A1VMPZVVVZUCS4,3XUSYT70ITKF71B7OEUHH01F07UD0X,Approved,tzlocal(),QuadrupedHead,spin_val_parts,3,HITs/QuadrupedHead/spin_val_parts/live/group_3_3NXNZ5RS1BHK86W4NZGQY3OBN4Z799.json
3CP1TO84PULULIXMEXMEQW21QSV25Y,2025-08-21 12:47:22-06:00,2025-08-21 12:50:18-06:00,2025-08-21 12:47:22-0600,2025-08-21 12:50:18-0600,176.0,2.933333333333333,0.04888888888888889,AZLZA0Q87TJZO,3WGCNLZJKFRFEQWPKXYHV5KP5Z0D10,Approved,tzlocal(),QuadrupedHead,spin_val_parts,4,HITs/QuadrupedHead/spin_val_parts/live/group_4_3CP1TO84PULULIXMEXMEQW21QSV25Y.json
3YW4XOSQKR54HC55WUU8TPKCX38U1P,2025-08-21 11:58:00-06:00,2025-08-21 12:00:12-06:00,2025-08-21 11:58:00-0600,2025-08-21 12:00:12-0600,132.0,2.2,0.03666666666666667,A1VMPZVVVZUCS4,3WGCNLZJKFRFEQWPKXYHV5KP5Z0D10,Approved,tzlocal(),QuadrupedHead,spin_val_parts,4,HITs/QuadrupedHead/spin_val_parts/live/group_4_3YW4XOSQKR54HC55WUU8TPKCX38U1P.json
